step,t,x,y,z,vx,vy,vz,X_inertial,Y_inertial,Jacobi_C,Jacobi_Drift
150,0.150000,0.82383149,0.02424776,0.00475692,0.02520528,0.15500403,-0.00321361,0.81095721,0.14708732,3.1754207949,4.4409e-16
151,0.151000,0.82385677,0.02440270,0.00475370,0.02536409,0.15487195,-0.00323430,0.81081141,0.14805519,3.1754207949,0.0000e+00
152,0.152000,0.82388222,0.02455751,0.00475045,0.02552271,0.15473902,-0.00325498,0.81066466,0.14902280,3.1754207949,4.4409e-16
153,0.153000,0.82390782,0.02471218,0.00474719,0.02568116,0.15460527,-0.00327564,0.81051696,0.14999015,3.1754207949,8.8818e-16
154,0.154000,0.82393358,0.02486672,0.00474390,0.02583943,0.15447068,-0.00329629,0.81036831,0.15095726,3.1754207949,4.4409e-16
155,0.155000,0.82395950,0.02502112,0.00474060,0.02599751,0.15433526,-0.00331692,0.81021872,0.15192410,3.1754207949,0.0000e+00
156,0.156000,0.82398558,0.02517539,0.00473727,0.02615540,0.15419900,-0.00333754,0.81006819,0.15289069,3.1754207949,8.8818e-16
157,0.157000,0.82401181,0.02532952,0.00473392,0.02631312,0.15406192,-0.00335815,0.80991670,0.15385702,3.1754207949,4.4409e-16
158,0.158000,0.82403820,0.02548351,0.00473055,0.02647064,0.15392401,-0.00337874,0.80976427,0.15482309,3.1754207949,4.4409e-16
159,0.159000,0.82406475,0.02563736,0.00472716,0.02662798,0.15378526,-0.00339931,0.80961090,0.15578889,3.1754207949,0.0000e+00
160,0.160000,0.82409146,0.02579108,0.00472375,0.02678513,0.15364569,-0.00341987,0.80945658,0.15675443,3.1754207949,0.0000e+00
161,0.161000,0.82411832,0.02594466,0.00472032,0.02694209,0.15350529,-0.00344041,0.80930132,0.15771970,3.1754207949,4.4409e-16
162,0.162000,0.82414534,0.02609809,0.00471687,0.02709886,0.15336407,-0.00346094,0.80914511,0.15868471,3.1754207949,4.4409e-16
163,0.163000,0.82417252,0.02625138,0.00471340,0.02725544,0.15322202,-0.00348145,0.80898797,0.15964945,3.1754207949,0.0000e+00
164,0.164000,0.82419985,0.02640453,0.00470991,0.02741182,0.15307915,-0.00350195,0.80882987,0.16061391,3.1754207949,4.4409e-16
165,0.165000,0.82422734,0.02655754,0.00470640,0.02756802,0.15293545,-0.00352243,0.80867084,0.16157811,3.1754207949,0.0000e+00
166,0.166000,0.82425499,0.02671040,0.00470286,0.02772401,0.15279092,-0.00354290,0.80851087,0.16254203,3.1754207949,4.4409e-16
167,0.167000,0.82428279,0.02686312,0.00469931,0.02787982,0.15264558,-0.00356335,0.80834995,0.16350567,3.1754207949,0.0000e+00
168,0.168000,0.82431075,0.02701570,0.00469574,0.02803542,0.15249942,-0.00358378,0.80818809,0.16446904,3.1754207949,4.4409e-16
169,0.169000,0.82433886,0.02716812,0.00469214,0.02819083,0.15235243,-0.00360420,0.80802529,0.16543213,3.1754207949,4.4409e-16
170,0.170000,0.82436713,0.02732040,0.00468853,0.02834603,0.15220463,-0.00362460,0.80786156,0.16639494,3.1754207949,0.0000e+00
171,0.171000,0.82439555,0.02747253,0.00468490,0.02850104,0.15205600,-0.00364499,0.80769688,0.16735746,3.1754207949,0.0000e+00
172,0.172000,0.82442413,0.02762451,0.00468124,0.02865585,0.15190656,-0.00366536,0.80753126,0.16831971,3.1754207949,4.4409e-16
173,0.173000,0.82445286,0.02777634,0.00467756,0.02881046,0.15175631,-0.00368572,0.80736471,0.16928167,3.1754207949,4.4409e-16
174,0.174000,0.82448175,0.02792802,0.00467387,0.02896486,0.15160523,-0.00370605,0.80719721,0.17024334,3.1754207949,4.4409e-16
175,0.175000,0.82451079,0.02807955,0.00467015,0.02911906,0.15145334,-0.00372638,0.80702878,0.17120472,3.1754207949,4.4409e-16
176,0.176000,0.82453999,0.02823093,0.00466642,0.02927305,0.15130064,-0.00374668,0.80685941,0.17216581,3.1754207949,4.4409e-16
177,0.177000,0.82456934,0.02838215,0.00466266,0.02942684,0.15114713,-0.00376697,0.80668911,0.17312662,3.1754207949,4.4409e-16
178,0.178000,0.82459884,0.02853322,0.00465888,0.02958042,0.15099280,-0.00378724,0.80651787,0.17408713,3.1754207949,4.4409e-16
179,0.179000,0.82462850,0.02868414,0.00465508,0.02973379,0.15083766,-0.00380750,0.80634569,0.17504734,3.1754207949,0.0000e+00
180,0.180000,0.82465831,0.02883490,0.00465127,0.02988696,0.15068171,-0.00382774,0.80617258,0.17600726,3.1754207949,0.0000e+00
181,0.181000,0.82468828,0.02898550,0.00464743,0.03003991,0.15052495,-0.00384796,0.80599853,0.17696688,3.1754207949,0.0000e+00
182,0.182000,0.82471839,0.02913595,0.00464357,0.03019265,0.15036739,-0.00386816,0.80582355,0.17792620,3.1754207949,4.4409e-16
183,0.183000,0.82474866,0.02928624,0.00463969,0.03034518,0.15020901,-0.00388835,0.80564764,0.17888522,3.1754207949,4.4409e-16
184,0.184000,0.82477908,0.02943637,0.00463579,0.03049750,0.15004983,-0.00390852,0.80547079,0.17984394,3.1754207949,4.4409e-16
185,0.185000,0.82480966,0.02958634,0.00463188,0.03064961,0.14988985,-0.00392867,0.80529301,0.18080236,3.1754207949,4.4409e-16
186,0.186000,0.82484038,0.02973615,0.00462794,0.03080150,0.14972906,-0.00394881,0.80511429,0.18176047,3.1754207949,0.0000e+00
187,0.187000,0.82487126,0.02988579,0.00462398,0.03095317,0.14956746,-0.00396893,0.80493465,0.18271827,3.1754207949,8.8818e-16
188,0.188000,0.82490229,0.03003528,0.00462000,0.03110463,0.14940506,-0.00398903,0.80475407,0.18367577,3.1754207949,4.4409e-16
189,0.189000,0.82493347,0.03018460,0.00461600,0.03125587,0.14924187,-0.00400911,0.80457256,0.18463295,3.1754207949,8.8818e-16
190,0.190000,0.82496480,0.03033376,0.00461198,0.03140689,0.14907787,-0.00402918,0.80439012,0.18558983,3.1754207949,8.8818e-16
191,0.191000,0.82499628,0.03048276,0.00460794,0.03155769,0.14891307,-0.00404923,0.80420676,0.18654638,3.1754207949,4.4409e-16
192,0.192000,0.82502791,0.03063159,0.00460388,0.03170827,0.14874747,-0.00406926,0.80402246,0.18750263,3.1754207949,8.8818e-16
